Language,12,
,,
NormalText,,
"inscription_desc_4801|s6diceability_desc_51301_1","CritX +0.4x","KRYT +0.4x"
"inscription_desc_4802","Magazine Capacity +60%.","Pojemność magazynka +60%"
"inscription_desc_4803","RoF +25%.","Szybkostrzelność +25%."
"inscription_desc_4804","Accuracy +80%, Stability +80%","Celność +80%, stabilność +80%"
"inscription_desc_4806","-40% Reload Time","Czas przeładowania -40%"
"inscription_desc_4807","+50% total Weapon DMG against enemies in Burning Effect.","Całkowite obrażenia dla płonących wrogów +50%."
"inscription_desc_4808","+50% total Weapon DMG against enemies in Decay Effect.","Całkowite obrażenia dla zatrutych wrogów +50%."
"inscription_desc_4809","+50% total Weapon DMG against enemies in Shock Effect.","Całkowite obrażenia dla porażonych wrogów +50%."
"inscription_desc_4812","30% chance to recover 50% ammo to the magazine when you kill an enemy.","30% szansy na odzyskanie połowy amunicji w magazynku po zabiciu wroga."
"inscription_desc_4815","There's a 25% chance to kill a normal enemy instantly on a crit hit.","25% szansy na natychmiastowe zabicie normalnego wroga przy trafieniu krytycznym."
"inscription_desc_4816","Piercing +1, Projectile Speed +100%.","Przebicie +1, prędkość pocisków +100%."
"inscription_desc_4818","+80% Weapon DMG for the 2 shots after reloading.","Dwa strzały po przeładowaniu: +80% obrażeń."
"inscription_desc_4819","+100% Magazine Capacity, +30% Reload Time","+100% pojemności magazynka i +30% czasu przeładowania"
"inscription_desc_4820","+65% total weapon DMG against enemies in Elemental Effect.","+65% całkowitych obrażeń dla wrogów pod wpływem efektu żywiołu."
"inscription_desc_4821","+100% Elemental Effect Chance of this weapon.","+100% szansy na efekt żywiołu."
"inscription_desc_4822","50% chance to cause an explosion that deals Corrosion DMG when killing an enemy.","50% szansy na toksyczną eksplozję po zabiciu wroga."
"inscription_desc_4824","+40% base weapon DMG, -50% Accuracy.","+40% podstawowych obrażeń, celność -50%."
"inscription_desc_4825","CritX +1.2x, RoF -10%.","KRYT +1.2x, szybkostrzelność -10%."
"inscription_desc_4827","+40% total weapon DMG against elites and bosses.","+40% całkowitych obrażeń przeciwko elitom i bossom."
"inscription_desc_4828","+50% Elemental Effect Chance on Crit Hit","+50% szans na efekt żywiołu przy trafieniu krytycznym"
"inscription_desc_4829","50% chance to fill magazine instantly when killing an enemy","50% szansy na natychmiastowe naładowanie magazynka po zabiciu wroga"
"inscription_desc_4830","+3.0x CritX to the first shot after reload","Pierwszy strzał po przeładowaniu: KRYT +3.0x "
"inscription_desc_4832","DMG type converts into Fire DMG.","Typ obrażeń przekształca się w obrażenia od ognia."
"inscription_desc_4833","DMG type converts into Corrosion DMG.","Typ obrażeń przekształca się w obrażenia od toksyn."
"inscription_desc_4834","DMG type converts into Lightning DMG.","Typ obrażeń przekształca się w obrażenia od elektryczności."
"inscription_desc_4835","+10% weapon DMG upon hitting an enemy. (Up to +200%, resets on a miss.)","+10% podstawowych obrażeń za trafienie wroga (maks. +200%, resetują się po nietrafionym strzale)."
"inscription_desc_4836","Weapon auto-reloaded when unequipped.","Broń jest przeładowana automatycznie, gdy nie jest używana."
"inscription_desc_4838","(Gemini) Weapon 1&2 combine their CritX bonus but -50% Stability","(Bliźniacze) Broń 1 i 2 łączą premię KRYT, ale mają -50% stabilności"
"inscription_desc_4839","(Gemini) Weapon 1 & 2 share their elemental advantages and there's a chance to apply the elemental effect from the other weapon.","(Bliźniacze) Broń 1 i 2 dzielą się żywiołami; możliwe są obrażenia żywiołu z innej broni."
"inscription_desc_4842","(Gemini) Weapon 1&2 magazine capacity become the sum of both weapon's magazine capacity, and RoF +25%.","(Bliźniacze) Pojemność magazynka jest równa sumie pojemności magazynków broni 1 i 2, szybkostrzelność +25%."
"inscription_desc_4843","+150% Lucky Shot chance for next two shots after 3 consecutive critical hits.","+150% szans na Szczęśliwy Strzał dla dwóch następnych strzałów, po trzech trafieniach krytycznych z rzędu."
"inscription_desc_4845","Explosion AoE +2m, Lucky Shot Chance +15%.","+2m zasięgu wybuchu, szansa na Szczęśliwy Strzał +15%."
"inscription_desc_4846|state_desc_32050_1|talent_briefdesc_2035_1|inscription_desc_13038|talent_briefdesc_3315_1|state_desc_32812_1|talent_briefdesc_5428_1|state_desc_33774_1","Lucky Shot Chance +20%","Szansa na Szczęśliwy Strzał +20%"
"inscription_desc_4847","Lucky Shot Chance +50%, Stability -50%.","Szansa na Szczęśliwy Strzał +50%, stabilność -50%."
"inscription_desc_4848","+20% chance to gain one more projectile.","+20% szansy na wystrzelenie dodatkowego pocisku."
"inscription_desc_4849","Projectiles +1, Consumption +100%","Strzela dwoma pociskami na raz."
"inscription_desc_4851","When the magazine is more than 50% full, RoF +50%, and +20% chance to gain one more projectile.","Szybkostrzelność +50% i +20% szansy na wystrzelenie dodatkowego pocisku, gdy magazynek jest zapełniony przynajmniej w połowie."
"inscription_desc_4852","-55% Reload Time when ammo in the magazine is less than 50%.","-55% czas przeładowania, gdy magazynek jest przynajmniej w połowie pusty."
"inscription_desc_4853","When using the scope +150% weapon stability, otherwise +60% Accuracy.","Celność broni +60%, chyba że używasz lunety, wtedy stabilność broni +150%."
"inscription_desc_4856","+50% RoF for 5s after killing an enemy.","Szybkostrzelność +50% przez 5 sekund po zabiciu wroga"
"inscription_desc_4857","-20% Explosion AoE, +40% RoF and -40% Reload Time","-20% zasięgu wybuchu, +40% szybkostrzelności i -40% czasu przeładowania"
"inscription_desc_4858","+10% Lucky Shot Chance for every 10% ammo consumed in the total magazine capacity(Up to 100%, resets on reload or weapon switch).","+10% szansy na Szczęśliwy Strzał dla każdych 10% amunicji zużytej w magazynku (maksymalnie 100%; resetuje się przy przeładowaniu lub po zmianie broni)."
"inscription_desc_4859","When reloading right after defeating an enemy, -50% Reload Time and retain the remaining ammo as additional magazine capacity. The more remaining ammo, the higher the base weapon damage.","Przy przeładowaniu tuż po pokonaniu przeciwnika, czas przeładowania zmniejsza się o 50%, a reszta amunicji w magazynku zostaje w magazynku. Im więcej pozostałej amunicji, tym wyższe podstawowe obrażenia broni."
"inscription_desc_4860","After waiting for 1s while scoped, CritX +2.0x for the next shot.","Po odczekaniu 1s patrząc przez celownik, KRYT +2.0x podczas następnego strzału."
"inscription_desc_4861","Killing an enemy with a critical hit deals the weapon's damage to enemies within 10m.","Zabicie wroga za pomocą krytycznego trafienia zadaje podstawowe obrażenia wrogom w promieniu 10m."
"inscription_desc_4862","+1.0x CritX for next shot and drops ammo for current weapon when defeating an enemy with crit hit.","KRYT +1.0x dla następnego strzału. Wróg wyrzuca amunicję dla obecnej broni przy pokonaniu go trafieniem krytycznym."
"inscription_desc_4864","Return ammo to the magazine on miss.","Amunicja wraca do magazynka, gdy spudłujesz."
"inscription_desc_4865","Projectile +0.2 for every enemy killed (resets after reload).","20% szansy na podwójny strzał za każdego zabitego wroga (resetuje się po przeładowaniu)."
"inscription_desc_4866","When triggering Elemental Effect, spread it to all enemies within 8m.","Podczas aktywacji efektu żywiołu, obejmie on wszystkich wrogów w promieniu 8m."
"inscription_desc_4867","+100% Effective Range, +100% Accuracy","Efektywny zasięg +100%, celność +100%"
"inscription_desc_4868","+100% Effective Range, +100% Stability","Efektywny zasięg +100%, stabilność +100%"
"inscription_desc_4869","CritX +0.8x for 1.5 s after using the scope.","KRYT +0.8x przez 1.5s po wyłączeniu lunety."
"inscription_desc_4900","Grants +0.5x CritX and guarantees crit hits for a short time when all three shots deal crit hits.","Dodaje KRYT +0,5x i gwarantuje trafienia krytyczne przez krótki czas, gdy trzy strzały zadadzą trafienia krytyczne."
"inscription_desc_4901","Increase total DMG by 15% for every ammo consumed by using the Weapon Skill.","+15% całkowitych obrażeń za każdą sztukę amunicji zużytą z wykorzystaniem Umiejętności Broni."
"inscription_desc_4902","+0.4x CritX for each enemy defeated with a mark, up to 4x. If the mark misses an enemy, -0.2x bonus CritX","Za każdego pokonanego wroga znacznikiem, KRYT +0.4x, maksymalnie +4x. Gdy znacznik nie trafi wroga, KRYT -0.2x"
"inscription_desc_4903","Increases the radius of the forcefield sphere. +50% Lucky Shot Chance to projectiles passing through the sphere.","Zwiększa promień pola siłowego. +50% szansy na Szczęśliwy Strzał dla pocisków przechodzących przez pole."
